question,model,answer,accuracy,precision,recall,f1
What pests affect Rice?,Gemini Baseline Standalone Gemini 2.5 Flash,"Error: 1 validation error for ChatGoogleGenerativeAI
  Value error, API key required for Gemini Developer API. Provide api_key parameter or set GOOGLE_API_KEY/GEMINI_API_KEY environment variable. [typ",0.0,0.0,0.0,0
What pests affect Rice?,Think-on-Graph (ToG),"Error: 1 validation error for ChatGoogleGenerativeAI
  Value error, API key required for Gemini Developer API. Provide api_key parameter or set GOOGLE_API_KEY/GEMINI_API_KEY environment variable. [typ",0.0,0.0,0.0,0
What pests affect Rice?,LangChain GraphCypherQAChain,"Error: 1 validation error for ChatGoogleGenerativeAI
  Value error, API key required for Gemini Developer API. Provide api_key parameter or set GOOGLE_API_KEY/GEMINI_API_KEY environment variable. [typ",0.0,0.0,0.0,0
What pests affect Rice?,Proposed GraphRAG (ours),"Error: 1 validation error for ChatGoogleGenerativeAI
  Value error, API key required for Gemini Developer API. Provide api_key parameter or set GOOGLE_API_KEY/GEMINI_API_KEY environment variable. [typ",0.0,0.0,0.0,0
What pests attack Wheat?,Gemini Baseline Standalone Gemini 2.5 Flash,"Error: 1 validation error for ChatGoogleGenerativeAI
  Value error, API key required for Gemini Developer API. Provide api_key parameter or set GOOGLE_API_KEY/GEMINI_API_KEY environment variable. [typ",0.0,0.0,0.0,0
What pests attack Wheat?,Think-on-Graph (ToG),"Error: 1 validation error for ChatGoogleGenerativeAI
  Value error, API key required for Gemini Developer API. Provide api_key parameter or set GOOGLE_API_KEY/GEMINI_API_KEY environment variable. [typ",0.0,0.0,0.0,0
What pests attack Wheat?,LangChain GraphCypherQAChain,"Error: 1 validation error for ChatGoogleGenerativeAI
  Value error, API key required for Gemini Developer API. Provide api_key parameter or set GOOGLE_API_KEY/GEMINI_API_KEY environment variable. [typ",0.0,0.0,0.0,0
What pests attack Wheat?,Proposed GraphRAG (ours),"Error: 1 validation error for ChatGoogleGenerativeAI
  Value error, API key required for Gemini Developer API. Provide api_key parameter or set GOOGLE_API_KEY/GEMINI_API_KEY environment variable. [typ",0.0,0.0,0.0,0
What pests affect Cotton?,Gemini Baseline Standalone Gemini 2.5 Flash,"Error: 1 validation error for ChatGoogleGenerativeAI
  Value error, API key required for Gemini Developer API. Provide api_key parameter or set GOOGLE_API_KEY/GEMINI_API_KEY environment variable. [typ",0.0,0.0,0.0,0
What pests affect Cotton?,Think-on-Graph (ToG),"Error: 1 validation error for ChatGoogleGenerativeAI
  Value error, API key required for Gemini Developer API. Provide api_key parameter or set GOOGLE_API_KEY/GEMINI_API_KEY environment variable. [typ",0.0,0.0,0.0,0
